,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,q,p,p,p,p,p,p,q, , , , , , , , ,q,q,p, , ,q,p,p,p,p,p,p,q,q,q,q,q,q,q,q, , , , , ,q,p,p,p,p,p,p,p,p,p,p,p, , , , , , , ,q, , ,q
1,p,q,q,q,q,q,q,p, , , , , , , , , ,p,q,p, ,p,q,q,q,q,q,q,p, ,q, ,p,p, , ,q,q, , , ,p,q,q,q,q,q,q,q,q,q,q,q,p, , , , , , , , , , 
2,p,q,q,q,q,q,q,p, , , , , , , , ,q, ,p,q,p,q,q,q,q,q,p,p, , ,q,p,q,q,p,q,q, , , , , ,p,q,q,q,q,q,q,q,q,q,q,p, , , , , , , ,q, , 
3,p,q,q,q,q,q,q,p, , , , , , , , ,q, ,q, ,p,q,q,q,p,p, ,q, , ,p,q,q,q,p, , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,p, , , , , ,q, , , 
4,p,q,q,q,q,q,q,p, , , , , , , , , , ,q, ,q,p,p,p, ,q, , , , , ,p,q,p,q, , ,q, , , , ,p,q,q,q,q,q,q,q,q,q,q,q,p, , , , , , , , , 
5,p,q,q,q,q,q,q,p, , , , , , , , , ,q, , ,q, , ,q,q, ,p, , , , , ,p, , , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,q,p, , , , , , , , 
6,p,q,q,q,q,q,q,p, , , , , , , , , , , ,q, , ,q, , ,p,q,p,p,p,p, , , , ,q,q, ,q, , , , ,p,q,q,q,q,q,q,q,q,q,q,q,q,p, , , , , , , 
7,p,q,q,p,q,q,q,p, , , , , , , , , , , ,q,q,q,q, ,p,q,q,q,q,q,q,p,p,p, , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,q,q,p, , , , , , , 
8,p,q,p, ,p,q,q,p, , , , , , , , , , , , ,q, , ,q, ,p,q,q,q,q,q,q,q,q,p, , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,q,q,p, , , , , , , 
9,q,p, , ,p,q,q,p, , , , , , , , , , , , , , , , , ,q,p,q,q,q,q,q,q,q,q,p, , , , , , ,p,q,q,q,p,q,q,q,q,q,q,q,q,p, , , , , , , , 
10,q,q, , ,p,q,q,p, , , , , , , , , , , , , , , , , ,q, ,p,q,q,q,q,q,q,q,q,p,p, , , , ,p,q,q,p, ,p,q,q,q,q,q,q,p, , , , , , , , , 
11,q, , , ,p,q,q,p, , , , , , , , , , , , , , , , , ,p, ,p,q,q,q,q,q,q,q,q,q,q,p, , , ,p,q,q,p, , ,p,q,q,q,q,p, , , , , , , , , ,q
12, , , , ,p,q,q,p, , , , , , , , , , , , , , , ,q,p,q,p,q,q,q,q,q,q,q,q,q,q,q,p, , , ,p,q,q,p, , , ,p,q,q,q,p, , , , , , , , ,p,q
13, , , , ,p,q,q,p, , , , , , , , , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,p, , ,p,q,q,p, , , ,p,q,q,p, , , , , , , , ,p,q,p
14, , , , ,p,q,q,p, , , , , , , , ,q, , , , , ,q,p,q,p,q,q,q,q,q,q,q,q,q,q,q,q,q,q,p, , ,p,q,p, , , , ,p,p, , , , , , , , ,p,q,q,p
15, , , , ,p,q,q,p, , , , , , , , ,q, , , , ,q,q, ,p, ,p,q,q,q,q,q,q,q,q,q,q,q,q,q,q,p, ,p,q,p, , ,p,p,q,q,p, , , , , , , ,p,q,q,p
16, , , , ,p,q,q,p, , , , , , , , ,q, , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,p, ,p,q,p, ,p,q,q,q,q,p, , , , , , ,p,q,q,q,p
