,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0, , , , , , , , , , , , , , , , ,q,q, , , , , , , , , , , , ,q,q,q,q,q,q, , , , , , , , , , , , , , , , , , , , , , , , ,q, , ,q
1, ,p,p,p,p,p,p, , , , , , , , , , ,q,q, , , ,p,p,q,q,q,q,q,q,q, , ,q, , , , , , , , , ,p,p,p,p,p,p,p,p,p, , , , , , , , , , ,q, 
2, ,p,q,q,q,q,p, , , , , , , , , , , ,q,q,q,q,p,q,q, , ,q, , ,q, , ,q,q,q,q, , , , , , ,p,q,q,q,q,q,q,q,p,p, , , , , , , ,q,q, , 
3, ,p,q,q,q,q,p, , , , , , , , , ,q, ,q, , ,q,p,p,q, , ,q,q,q,q,q,q,p,p, , , , , , , , ,p,q,q,q,q,q,q,q,q,p, , , , , , , ,q, , , 
4, ,p,q,q,q,q,p, , , , , , , , , , ,q,q, ,q,q, , ,q,q,q, , , , , ,q,p,q,q, ,q, , , , , ,p,q,q,q,q,q,q,q,q,p,p, , , , , ,q, , , , 
5, ,p,q,q,q,q,p, , , , , , , , , , ,q, , ,q, , , , , ,q, , , , , ,q, , , ,q, , , , , , ,p,q,q,q,q,q,q,q,q,q,p, , , , ,q, , , , , 
6, ,q,p,p,p,p,p, , , , , , , , , , , , , ,q, ,q, , ,q,q, , , , , , , , ,q,q,q,q, , , , ,p,q,q,q,q,q,q,q,q,q,p,p, , , , , , , , , 
7, ,q, , , ,p,p, , , , , , , , , , , , , ,q,q,q, ,q,q,p,p,p,p, , , , , , , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,p,p, , , , , , , , 
8, ,q, , , ,p,p, , , , , , , , , , , , , ,q, , ,q, ,q,p,p,p,p,p,p,p, , , , , , , , , , ,p,p,p,p,p,p,q,q,q,q,p,p,p, , , , , , , , 
9, ,q, , , ,p,p, , , , , , , , , , , , , , , , , , ,q, , ,p,q,q,q,p,p, , , , , , , , , ,p,p, , , ,p,p,q,q,q,p, , , , , , , , , , 
10,q,q, , , ,p,p, , , , , , , , , , , , , , , , , , ,q, , ,p,q,q,q,q,p,p, , , , , , , , ,p,p, , , , ,p,q,q,p,p, , , , , , , , , , 
11,q, , , , ,p,p, , , , , , , , , , , , , , , , , , ,q, , ,p,q,q,q,q,q,p,p,p, , , , , , ,p,p, , , , ,p,p,q,p, , , , , , , , , , ,q
12, , , , , ,p,p, , , , , , , , , , , , , , , , , , ,q, , ,p,q,q,q,q,q,q,q,p,p, , , , , ,p,p, , , , , ,p,q,p, , , , , , , , , , ,q
13, , , , , ,p,p, , , , , , , , , , , , , , , , , ,q,q,q,q,p,q,q,q,q,q,q,q,q,p, , , , , ,p,q, , , , , , ,q, , , , , , , , , , , ,q
14, , , , , ,p,p, , , , , , , , , ,q, , , , , ,q,q,q, , ,p,q,q,q,q,q,q,q,q,q,p,p, , , , , ,q, , , , , , ,q, , , , , , , , , , ,q,q
15, , , , , ,p,p, , , , , , , , , ,q, , , , ,q,q, ,q, , ,p,q,q,q,q,q,q,q,q,q,q,p,p, , , , ,q, , , , , , ,q, , , , , , , , , ,p,q, 
16, , , , , ,p,p, , , , , , , , , ,q, , , , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,p,p, , , ,q, , , , ,p,p,q, , , , , , , , , ,p,p, 
17, , , , , ,p,p, , , , , , , , , ,q, , , , , , , , , ,p,p,q,q,q,q,q,q,q,q,q,q,q,q,p, , , ,q, , , ,p,p,p,p, , , , , , , , ,p,p,p, 
18, , , , , ,p,p, , , , , , , , , ,q, , , , , , , , ,p,p,q,q,q,q,q,q,q,q,q,q,q,q,q,p,p,p,p,q,p,p,p,q,p,q, , , , , , , , ,p,p,q,p, 
19, , , , , ,p,p, , , , , , , , , ,q, , , ,q, ,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q, ,q,q, , , , , , , ,p,q,q,p, 
20, , , , , ,p,p, , , , , , , , , ,q, , , , ,q,q, , ,q,p,p,q,p,p,q,p,p,q,p,p,p,p,q,q,q,q,q,q,q,p,p,q, , ,q, , , , , , ,p,p,q,q,p, 
21, , , , , ,p,p, , , , , , , , , ,q, , , , ,q, ,q,q,q, , ,q, , ,q, , ,q, , , ,p,q,q,q,q,q,p,p,q, ,q, , , , , , , , , ,p,q,q,q,p, 
22, , , , , ,p,p, , , , , , , , , ,q,q,q,q, , ,q, ,q,q, , ,q, , , , , ,q, , , ,p,q,q,q,p,p,q, ,q, , , ,q, , , , , , ,p,p,q,q,q,p, 
23, , , , , ,p,p, , , , , , , , , ,q, ,q, , ,q,q,q, ,q, , , , , , , , , , , , ,p,q,p,p,q, ,q, , , , ,q, , , , , , , ,p,q,q,q,q,p, 
24, , , , , ,p,p, , , , , , , , , ,q,q,q, ,q, , ,q,q,q, , , , , , , , , , , ,p,p,q,p, ,q, , , ,q,q,q, , , , , , , ,p,p,q,q,q,q,p, 
25, , , , , ,p,p, , , , , , , , , ,q,q,q,q, ,q, ,q, , , , , , , , , , , , ,p,p,q,q,p, , , , ,q,q,q, , , , , , , , ,p,q,q,q,q,q,p, 
26, , , , , ,p,p, , , , , , , , , , ,q, , ,q, , ,q, , , , , , , , , , , , ,p,q,q,q,p, , , , , ,q, , , , , , , , , ,p,q,q,q,q,q,p, 
27, , , , , ,p,p, , , , , , , , , , ,q, , , ,q, , , , , , ,q, , , , , , ,p,p,q,q,q,p,p, , , ,q, , , , , , , ,q, , ,p,q,q,q,q,q,p, 
