,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1,1,1,1,1,1,1,1, , , , , , , , ,1,2,1,1, ,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1, , , , , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , ,0, , ,0
1,1,5,5,5,5,5,5,1, , , , , , , , , ,1,1,1,1,1,5,5,5,5,5,1,1,1,2, ,1,1, , ,1,1, , , ,1,1,5,5,5,5,5,5,5,5,5,1,1, , , , , , , , ,0, 
2,1,5,5,5,5,5,5,1, , , , , , , , ,1, ,1,5,5,5,5,5,5,1,1,2, , ,2,1,1,1,2,2,2,1, , , , ,1,5,5,5,5,5,5,5,5,5,5,1, , , , , , ,2,1, , 
3,1,5,5,5,5,5,5,1, , , , , , , , ,1, ,2,1,1,5,5,5,5,1, ,2,2,2,2,1,5,5,1, , , , , , , ,1,5,5,5,5,5,5,5,5,5,5,1,1, , , , , ,1, , , 
4,1,5,5,5,5,5,5,1, , , , , , , , , ,2,2, ,2,1,1,1,1,2,2, , , , ,1,2,1,2,1, ,0, , , , ,1,5,5,5,5,5,5,5,5,5,5,5,1, , , , ,0, , , , 
5,1,5,5,5,5,5,5,1, , , , , , , , , ,1, , ,2, , ,1,1, ,2, , , , , ,1, , , ,1, , , , , ,1,5,5,5,5,5,5,5,5,5,5,5,1,1, , ,0, , , , , 
6,1,5,5,5,5,5,5,1, , , , , , , , , , , ,1,2, ,1, , ,1,2,1,1,1,1, , , , ,1,3,2,1, , , ,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1, , , , , , , 
7,1,5,1,1,1,5,5,1, , , , , , , , , , , ,1,3,2,2, ,1,2,5,5,5,5,1,1,1,1, , , , , , , , ,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1, , , , , , , 
8,1,1,1, ,1,5,5,1, , , , , , , , , , , , ,1, , ,0, ,1,5,5,5,5,5,5,5,1,1, , , , , , , ,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1, , , , , , , 
9,1,1, , ,1,5,5,1, , , , , , , , , , , , , , , , , ,2,1,1,5,5,5,5,5,5,1,1, , , , , , ,1,5,5,1,1,1,5,5,5,5,5,5,1,1, , , , , , , , 
10,2,1, , ,1,5,5,1, , , , , , , , , , , , , , , , , ,2, ,1,5,5,5,5,5,5,5,1,1,1, , , , ,1,5,5,1, ,1,1,5,5,5,5,1,1, , , , , , , , , 
11,1, , , ,1,5,5,1, , , , , , , , , , , , , , , , , ,2, ,1,5,5,5,5,5,5,5,5,5,1,1, , , ,1,5,5,1, , ,1,5,5,5,5,1, , , , , , , , , ,1
12, , , , ,1,5,5,1, , , , , , , , , , , , , , , ,1,1,2,1,1,5,5,5,5,5,5,5,5,5,5,1, , , ,1,5,5,1, , ,1,1,5,5,1,1, , , , , , , , ,1,2
13, , , , ,1,5,5,1, , , , , , , , , , , , , , , ,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1, , ,1,5,5,1, , , ,1,1,1,1, , , , , , , , ,1,1,1
14, , , , ,1,5,5,1, , , , , , , , ,1, , , , , ,2,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1, ,1,1,5,1, , , , ,1,1, , , , , , , , ,1,1,5,1
15, , , , ,1,5,5,1, , , , , , , , ,2, , , , ,1,2, ,1, ,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1, ,1,5,1, , ,1,1,1,1,1, , , , , , , ,1,5,5,1
16, , , , ,1,5,5,1, , , , , , , , ,2, , , , , , , , ,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, ,1,5,1, ,1,1,5,5,5,1, , , , , , ,1,1,5,5,1
17, , , , ,1,5,5,1, , , , , , , , ,2, , , , , , , ,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,1,1,1,5,5,5,1,1, , , , , ,1,1,5,5,5,1
18, , , , ,1,5,5,1, , , , , , , ,1,2, , , , , , ,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, , , , , , ,1,5,5,5,5,1
19, , , , ,1,5,5,1, , , , , , , ,1,1, , , ,0, ,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2, , , , , ,1,1,5,5,5,5,1
20, , , , ,1,5,5,1, , , , , , , ,1,1,1, , , ,2,2, ,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, ,1, , , , , ,1,5,5,5,5,5,1
21, , , , ,1,5,5,1, , , , , , , ,1,5,1,1, , ,1, ,1,2,5,1,1,2,1,1,1,1,1,2,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1, , , , , , ,1,1,5,5,5,5,5,1
22, , , , ,1,5,5,1, , , , , , , ,1,1,1,3,1, , ,1, ,1,2,1, ,1, ,1,1, , ,1, , ,1,5,5,5,5,5,5,5,1,1,1, , ,0, , , , , ,1,5,5,5,5,5,5,1
23, , , , ,1,5,5,1, , , , , , , ,1,2, ,2, , ,1,3,2, ,2, , , , , , , , , , ,1,1,5,5,5,5,5,1,1,1, , , ,0, , , , , ,1,1,5,5,5,5,5,5,1
24, , , , ,1,5,5,1, , , , , , , , ,2,1,2, ,0, , ,3,2,2, , , , , , , , , ,1,1,5,5,5,5,1,1,1, , ,1,2,1, , , , , , ,1,5,5,5,5,5,5,5,1
25, , , , ,1,5,5,1, , , , , , , , ,1,2,2,1, ,0, ,2, , , , , , , , , , , ,1,5,5,5,5,5,1, , , ,1,3,1, , , , , , ,1,1,5,5,5,5,5,5,5,1
26, , , , ,1,5,5,1, , , , , , , , , ,2, , ,0, , ,1, , , , , , , , , , ,1,1,5,5,5,5,5,1,1, , , ,1, , , , , , , ,1,1,5,5,5,5,5,5,5,1
27, , , , ,1,5,5,1, , , , , , , , , ,2, , , ,0, , , , , , ,0, , , , ,1,1,5,5,5,5,5,5,5,1, , ,0, , , , , , , ,1, ,1,5,5,5,5,5,5,5,1
28, , , , ,1,5,5,1, , , , , , , , , ,2, , , , , , , , , , , , , , ,1,1,5,5,5,5,5,5,5,5,1, , , , , , , , , , ,2,1,1,5,5,5,5,5,5,5,1
29, , , , ,1,5,5,1, , , , , , , , , ,1, , ,0, , , , , , , , , , ,1,1,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , ,1,5,5,5,5,5,5,5,5,5,1
30, , , , ,1,5,5,1, , , , , , , , , , ,1, , , , , , , , , , , ,1,1,5,1,1,1,1,5,5,5,5,5,2,1, , ,1, , , , , ,1,1,5,5,5,5,5,5,5,5,5,1
31, , , , ,1,5,5,1, , , , , , , , ,1, ,1, , , , , , , , , , ,1,1,1,1,1, , ,1,1,5,5,5,1,1, , , ,2, , , , , ,1,5,5,5,5,5,5,5,5,5,5,1
32, , , , ,1,5,5,1, , , , , , , ,1,3,1, , , , , , , , , , , ,1,1,1, , , , , ,1,5,1,1,1, , , , ,2, , , , , ,1,5,5,5,5,5,5,5,5,5,5,1
33, , , , ,1,5,5,1, , , , , , ,1,2,1, ,0, , , , , , , , ,1,1,2,1, , , ,1, , ,1,1,1, , ,1, , , ,2, , , , ,1,1,5,5,5,5,5,5,5,5,5,5,1
34, , , , ,1,5,5,1, , , , , , ,1,1, , , , , , , , , , , ,1,1,1, ,1, , ,2,2,1, ,1,1, , ,1, , , ,2, , , , ,1,5,5,5,5,5,5,5,5,5,5,5,1
35, , , , ,1,5,5,1, , , , ,1,2, , ,0, , , , ,1, , , , , ,2,1, ,1,2,1, , ,1,1, ,1,1,1,1, , , , ,2, , , , ,1,5,5,5,5,5,5,5,5,5,5,5,1
36, , , , ,1,5,5,1, , , , , ,1, , , , , , ,1,2, , , , ,2,2, , ,1,5,1,1,1,1,1,1,1,5,5,1, , , , ,2, , , ,1,1,5,5,5,5,5,5,5,5,5,5,5,1
